state,2016,2017,2018,2019,2020
Delaware,92.03,93.35,94.11,94.61,93.83
Delaware,93.1,93.55,93.69,94.07,93.9
Delaware,92.89,93.91,95.05,95.66,95.16
District of Columbia,91.27,91.96,92.63,93.09,92.88
Florida,92.98,93.35,93.89,94.85,95.02
Florida,93.17,94.16,94.49,95.37,94.89
Florida,92.52,93.61,93.96,94.94,95.6
Florida,89.44,92.45,94.09,93.17,94.65
Florida,90.72,92.37,93.77,94.81,94.88
Florida,91.29,92.35,93.4,93.95,94.09
Florida,89.93,91.42,93.08,94.12,95.97
Florida,89.91,91.12,92.7,94.12,94.17
Florida,88.35,90.15,91.43,92.01,92.12
Florida,91.13,91.88,92.52,93.87,94.57
Florida,93.59,94.73,95.39,96.12,95.61
Florida,88.27,90.48,90.55,91.36,91.23
Florida,91.71,93.93,94.99,95.24,91.24
Florida,94.69,93.77,94.49,95.29,96.04
Florida,91.39,92.59,93.42,94.23,94.68
Florida,91.7,92.78,93.5,93.82,93.65
Florida,92.37,93.53,94.48,95.19,95.96
Florida,90.77,92.12,92.52,93.84,92.22
Florida,90.43,91.46,92.25,92.9,95.22
Florida,90.27,92.59,93.9,95.09,95.85
Florida,86.75,89.98,89.23,87.98,89.43
Florida,90.78,94.58,92.6,95.58,95.41
Florida,86,87.26,85.39,88.33,90.04
Florida,88.73,90.87,94.02,93.95,91.93
Florida,89.86,91.85,91.67,92.63,93.09
Florida,88.82,91.15,92.62,93.55,93.15
Florida,87.72,88.47,89.16,90.5,91.56
Florida,92.11,93.21,93.87,94.53,94.82
Florida,86.92,88.54,89.26,91.23,94.52
Florida,89.67,91.83,92.87,93.5,93.71
Florida,87.74,88.76,91.17,93.65,94.07
Florida,91.55,92.76,95.05,93.76,94.17
Florida,84.96,87.22,86.51,90.19,89.28
Florida,91.76,92.83,93.47,94.52,93.9
Florida,91.53,92.93,94.07,94.68,95.05
Florida,90.41,91.18,92.16,92.8,93.72
Florida,90.07,91.55,93.21,93.67,93.58
Florida,90.88,90.43,88.67,92.15,91.75
Florida,87.63,91.89,94.31,95.32,95.62
Florida,92.49,93.39,94.06,94.13,94.35
Florida,89.89,91.02,91.16,91.68,93.08
Florida,91.57,93.45,94.7,95.48,95.38
Florida,91.46,92.65,93.73,94.69,94.95
Florida,95.08,96.28,97.12,97.12,96.56
Florida,92.45,94.32,95.3,96.06,95.26
Florida,93.54,93.91,94.36,94.71,95.87
Florida,88.78,90.98,92.91,93.28,94.73
Florida,91.93,93.22,94.01,94.87,94.49
Florida,91.68,93.43,93.71,94.67,94.3
Florida,91.77,92.59,93.49,94.13,93.95
Florida,91.79,92.98,93.52,94.26,93.99
Florida,92.65,93.6,94.33,94.62,94.85
Florida,90.45,92.3,93.13,94.08,94.61
Florida,88.57,89.66,89.54,91.3,91.48
Florida,93.97,94.67,95.11,95.35,94.92
Florida,90.12,92.44,93.46,94.34,94.6
Florida,92.92,93.7,94.36,94.59,94.45
Florida,92.87,94.3,95.33,95.61,96
Florida,92,93.35,94.35,95.03,95.43
Florida,92.09,93.43,95.27,96.27,95.31
Florida,89.7,90.93,92.71,94,94.77
Florida,92.34,94.09,93.76,94.07,92.67
Florida,89.47,90.24,91.27,93.08,96.98
